Qty,Reference,Value,Footprint,MFR,MPN,DIS,DPN,Description,Datasheet
1,C2,0.1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,"0.1µF, 50V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A
1,C3,0.1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,"0.1µF, 50V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A
1,C4,0.1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,"0.1µF, 50V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A
1,C5,0.1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,"0.1µF, 50V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A
1,C6,0.1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,"0.1µF, 50V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A
1,C7,0.1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,"0.1µF, 50V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A
1,C8,0.1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,"0.1µF, 50V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A
1,C9,1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KKX7R7BB105,DigiKey,311-1365-1-ND,"1µF, 16V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KKX7R7BB105/2103103?s=N4IgTCBcDaIMwEYEFoFwGwFZXIHIBEQBdAXyA
1,C10,0.1u,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,"0.1µF, 50V, X7R, 0805 ceramic capacitor",https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A
1,D1,GRN,LED_SMD:LED_0805_2012Metric,Lite-On,LTST-C170GKT,DigiKey,160-1179-1-ND,"Green LED, 0805",https://www.digikey.com/en/products/detail/liteon/LTST-C170GKT/269226?s=N4IgTCBcDaIIwDYAMBaOcDsBONKByAIiALoC%2BQA
1,D2,GRN,LED_SMD:LED_0805_2012Metric,Lite-On,LTST-C170KRKT,DigiKey,160-1415-2-ND,"Red LED, 0805",https://www.digikey.com/en/products/detail/lite-on-inc/LTST-C170KRKT/386779
1,J2,Shunt Voltage Measuring Points,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Phoenix Contact,1715721,DigiKey,277-1263-ND,"2-position terminal block, 5.08mm, horizontal",https://www.digikey.com/en/products/detail/phoenix-contact/1715721/260631?s=N4IgTCBcDa4OxwLQEYwDYDMiByAREAugL5A
1,J3,Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,Sullins Connector Solutions,PRPC010SAAN-RC,DigiKey,S1011EC-10-ND,"10-pin vertical header, 2.54mm",https://www.digikey.com/en/products/detail/sullins-connector-solutions/PRPC010SAAN-RC/2775244?s=N4IgTCBcDaIMoEYAMCEFEDCBaZWByAIiALoC%2BQA
1,R1,5.1k,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-075K1L,DigiKey,311-5.10KCRCT-ND,"5.1kΩ, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-075K1L/727988?s=N4IgTCBcDaIMwEYEFoCsA6BAGA0gYQCU8AVZAOQBEQBdAXyA
1,R2,5.1k,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-075K1L,DigiKey,311-5.10KCRCT-ND,"5.1kΩ, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-075K1L/727988?s=N4IgTCBcDaIMwEYEFoCsA6BAGA0gYQCU8AVZAOQBEQBdAXyA
1,R3,4.7k,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-074K7L,DigiKey,311-4.70KCRCT-ND,"4.7kΩ, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K7L/727929?s=N4IgTCBcDaIMwEYEFoAsA6A7ABgNIGEAlfAFWQDkAREAXQF8g
1,R4,4.7k,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-074K7L,DigiKey,311-4.70KCRCT-ND,"4.7kΩ, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K7L/727929?s=N4IgTCBcDaIMwEYEFoAsA6A7ABgNIGEAlfAFWQDkAREAXQF8g
1,R5,4.7k,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-074K7L,DigiKey,311-4.70KCRCT-ND,"4.7kΩ, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K7L/727929?s=N4IgTCBcDaIMwEYEFoAsA6A7ABgNIGEAlfAFWQDkAREAXQF8g
1,R6,10,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-0710RL,DigiKey,311-10.0CRCT-ND,"10Ω, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710RL/727534?s=N4IgTCBcDaIMwEYEFoEAYB0aDCAlbAKsgHIAiIAugL5A
1,R7,10,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-0710RL,DigiKey,311-10.0CRCT-ND,"10Ω, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710RL/727534?s=N4IgTCBcDaIMwEYEFoEAYB0aDCAlbAKsgHIAiIAugL5A
1,R8,1k,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-071KL,DigiKey,311-1.00KCRCT-ND,"1kΩ, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-071KL/727444?s=N4IgTCBcDaIMwEYEFoEDoAMGDSBhASrgCrIByAIiALoC%2BQA
1,R9,1k,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-071KL,DigiKey,311-1.00KCRCT-ND,"1kΩ, 1%, 0805 resistor",https://www.digikey.com/en/products/detail/yageo/RC0805FR-071KL/727444?s=N4IgTCBcDaIMwEYEFoEDoAMGDSBhASrgCrIByAIiALoC%2BQA
